,id,authors,title,categories,abstract,versions,first_category,v1_date,LM_related_terms,mentions_LM_keyword,cluster,domains,industry,academic,above_pred_female_threshold,inferred_female_frac_nqg_uncertainty_threshold_0.100,citationCount,percentile_rank_in_3_month_window,percentile_rank_in_12_month_window,n_authors,percentile_rank_in_6_month_window
170,arXiv:1808.05326,"['Rowan Zellers', 'Yonatan Bisk', 'Roy Schwartz', 'Yejin Choi']","SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense
  Inference",['cs.CL'],"  Given a partial description like ""she opened the hood of the car,"" humans can
reason about the situation and anticipate what might come next (""then, she
examined the engine""). In this paper, we introduce the task of grounded
commonsense inference, unifying natural language inference and commonsense
reasoning.
  We present SWAG, a new dataset with 113k multiple choice questions about a
rich spectrum of grounded situations. To address the recurring challenges of
the annotation artifacts and human biases found in many existing datasets, we
propose Adversarial Filtering (AF), a novel procedure that constructs a
de-biased dataset by iteratively training an ensemble of stylistic classifiers,
and using them to filter the data. To account for the aggressive adversarial
filtering, we use state-of-the-art language models to massively oversample a
diverse set of potential counterfactuals. Empirical results demonstrate that
while humans can solve the resulting inference problems with high accuracy
(88%), various competitive models struggle on our task. We provide
comprehensive analysis that indicates significant opportunities for future
research.
","[{'version': 'v1', 'created': 'Thu, 16 Aug 2018 02:21:01 GMT'}]",cs.CL,2018-08-16 02:21:01,['language model'],True,Knowledge Graphs and Commonsense,['washington.edu'],False,True,False,0.33333333330000003,585.0,1.0,0.9673590504451038,4,0.9798994974874372
174,arXiv:1808.07233,"['Renqian Luo', 'Fei Tian', 'Tao Qin', 'Enhong Chen', 'Tie-Yan Liu']",Neural Architecture Optimization,"['cs.LG', 'stat.ML']","  Automatic neural architecture design has shown its potential in discovering
powerful neural network architectures. Existing methods, no matter based on
reinforcement learning or evolutionary algorithms (EA), conduct architecture
search in a discrete space, which is highly inefficient. In this paper, we
propose a simple and efficient method to automatic neural architecture design
based on continuous optimization. We call this new approach neural architecture
optimization (NAO). There are three key components in our proposed approach:
(1) An encoder embeds/maps neural network architectures into a continuous
space. (2) A predictor takes the continuous representation of a network as
input and predicts its accuracy. (3) A decoder maps a continuous representation
of a network back to its architecture. The performance predictor and the
encoder enable us to perform gradient based optimization in the continuous
space to find the embedding of a new architecture with potentially better
accuracy. Such a better embedding is then decoded to a network by the decoder.
Experiments show that the architecture discovered by our method is very
competitive for image classification task on CIFAR-10 and language modeling
task on PTB, outperforming or on par with the best results of previous
architecture search methods with a significantly reduction of computational
resources. Specifically we obtain 1.93% test set error rate for CIFAR-10 image
classification task and 56.0 test set perplexity of PTB language modeling task.
Furthermore, combined with the recent proposed weight sharing mechanism, we
discover powerful architecture on CIFAR-10 (with error rate 2.93%) and on PTB
(with test set perplexity 56.6), with very limited computational resources
(less than 10 GPU hours) for both tasks.
","[{'version': 'v1', 'created': 'Wed, 22 Aug 2018 06:07:03 GMT'}, {'version': 'v2', 'created': 'Tue, 4 Sep 2018 12:02:37 GMT'}, {'version': 'v3', 'created': 'Wed, 5 Sep 2018 14:10:46 GMT'}, {'version': 'v4', 'created': 'Wed, 31 Oct 2018 04:20:39 GMT'}, {'version': 'v5', 'created': 'Wed, 4 Sep 2019 12:53:35 GMT'}]",cs.LG,2018-08-22 06:07:03,['language model'],True,Efficiency & Performance,"['microsoft.com', 'ustc.edu.cn']",True,True,False,0.0,541.0,0.9895833333333334,0.9643916913946587,5,0.9748743718592965
183,arXiv:1808.08949,"['Matthew E. Peters', 'Mark Neumann', 'Luke Zettlemoyer', 'Wen-tau Yih']",Dissecting Contextual Word Embeddings: Architecture and Representation,['cs.CL'],"  Contextual word representations derived from pre-trained bidirectional
language models (biLMs) have recently been shown to provide significant
improvements to the state of the art for a wide range of NLP tasks. However,
many questions remain as to how and why these models are so effective. In this
paper, we present a detailed empirical study of how the choice of neural
architecture (e.g. LSTM, CNN, or self attention) influences both end task
accuracy and qualitative properties of the representations that are learned. We
show there is a tradeoff between speed and accuracy, but all architectures
learn high quality contextual representations that outperform word embeddings
for four challenging NLP tasks. Additionally, all architectures learn
representations that vary with network depth, from exclusively morphological
based at the word embedding layer through local syntax based in the lower
contextual layers to longer range semantics such coreference at the upper
layers. Together, these results suggest that unsupervised biLMs, independent of
architecture, are learning much more about the structure of language than
previously appreciated.
","[{'version': 'v1', 'created': 'Mon, 27 Aug 2018 17:54:29 GMT'}, {'version': 'v2', 'created': 'Thu, 27 Sep 2018 23:36:12 GMT'}]",cs.CL,2018-08-27 17:54:29,['language model'],True,"Representations, Syntax, Semantics","['allenai.org', 'washington.edu']",False,True,False,0.0,320.0,0.9791666666666666,0.9436201780415431,4,0.964824120603015
186,arXiv:1808.09031,"['Rebecca Marvin', 'Tal Linzen']",Targeted Syntactic Evaluation of Language Models,['cs.CL'],"  We present a dataset for evaluating the grammaticality of the predictions of
a language model. We automatically construct a large number of minimally
different pairs of English sentences, each consisting of a grammatical and an
ungrammatical sentence. The sentence pairs represent different variations of
structure-sensitive phenomena: subject-verb agreement, reflexive anaphora and
negative polarity items. We expect a language model to assign a higher
probability to the grammatical sentence than the ungrammatical one. In an
experiment using this data set, an LSTM language model performed poorly on many
of the constructions. Multi-task training with a syntactic objective (CCG
supertagging) improved the LSTM's accuracy, but a large gap remained between
its performance and the accuracy of human participants recruited online. This
suggests that there is considerable room for improvement over LSTMs in
capturing syntax in a language model.
","[{'version': 'v1', 'created': 'Mon, 27 Aug 2018 20:42:51 GMT'}]",cs.CL,2018-08-27 20:42:51,['language model'],True,"Representations, Syntax, Semantics",['jhu.edu'],False,True,True,1.0,313.0,0.96875,0.9406528189910979,2,0.9597989949748744
230,arXiv:1809.10853,"['Alexei Baevski', 'Michael Auli']",Adaptive Input Representations for Neural Language Modeling,['cs.CL'],"  We introduce adaptive input representations for neural language modeling
which extend the adaptive softmax of Grave et al. (2017) to input
representations of variable capacity. There are several choices on how to
factorize the input and output layers, and whether to model words, characters
or sub-word units. We perform a systematic comparison of popular choices for a
self-attentional architecture. Our experiments show that models equipped with
adaptive embeddings are more than twice as fast to train than the popular
character input CNN while having a lower number of parameters. On the
WikiText-103 benchmark we achieve 18.7 perplexity, an improvement of 10.5
perplexity compared to the previously best published result and on the Billion
Word benchmark, we achieve 23.02 perplexity.
","[{'version': 'v1', 'created': 'Fri, 28 Sep 2018 04:30:11 GMT'}, {'version': 'v2', 'created': 'Mon, 1 Oct 2018 02:01:50 GMT'}, {'version': 'v3', 'created': 'Fri, 22 Feb 2019 23:41:46 GMT'}]",cs.CL,2018-09-28 04:30:11,['language model'],True,"Representations, Syntax, Semantics",[],False,False,False,0.0,305.0,0.9583333333333334,0.9347181008902077,2,0.9547738693467337
239,arXiv:1810.04805,"['Jacob Devlin', 'Ming-Wei Chang', 'Kenton Lee', 'Kristina Toutanova']","BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding",['cs.CL'],"  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
","[{'version': 'v1', 'created': 'Thu, 11 Oct 2018 00:50:01 GMT'}, {'version': 'v2', 'created': 'Fri, 24 May 2019 20:37:26 GMT'}]",cs.CL,2018-10-11 00:50:01,['BERT'],True,Multilingual Transfer Learning,['google.com'],True,False,False,0.33333333330000003,59446.0,0.9902912621359223,0.9970326409495549,4,0.9949748743718593
288,arXiv:1811.03604,"['Andrew Hard', 'Kanishka Rao', 'Rajiv Mathews', 'Swaroop Ramaswamy', 'Françoise Beaufays', 'Sean Augenstein', 'Hubert Eichner', 'Chloé Kiddon', 'Daniel Ramage']",Federated Learning for Mobile Keyboard Prediction,['cs.CL'],"  We train a recurrent neural network language model using a distributed,
on-device learning framework called federated learning for the purpose of
next-word prediction in a virtual keyboard for smartphones. Server-based
training using stochastic gradient descent is compared with training on client
devices using the Federated Averaging algorithm. The federated algorithm, which
enables training on a higher-quality dataset for this use case, is shown to
achieve better prediction recall. This work demonstrates the feasibility and
benefit of training language models on client devices without exporting
sensitive user data to servers. The federated learning environment gives users
greater control over the use of their data and simplifies the task of
incorporating privacy by default with distributed training and aggregation
across a population of client devices.
","[{'version': 'v1', 'created': 'Thu, 8 Nov 2018 18:37:03 GMT'}, {'version': 'v2', 'created': 'Thu, 28 Feb 2019 21:07:51 GMT'}]",cs.CL,2018-11-08 18:37:03,['language model'],True,Fine-Tuning & Domain Adaptation,['google.com'],True,False,False,0.2857142857,1037.0,0.9805825242718447,0.9881305637982196,9,0.9899497487437185
274,arXiv:1811.00937,"['Alon Talmor', 'Jonathan Herzig', 'Nicholas Lourie', 'Jonathan Berant']","CommonsenseQA: A Question Answering Challenge Targeting Commonsense
  Knowledge","['cs.CL', 'cs.AI', 'cs.LG']","  When answering a question, people often draw upon their rich world knowledge
in addition to the particular context. Recent work has focused primarily on
answering questions given some relevant document or context, and required very
little general background. To investigate question answering with prior
knowledge, we present CommonsenseQA: a challenging new dataset for commonsense
question answering. To capture common sense beyond associations, we extract
from ConceptNet (Speer et al., 2017) multiple target concepts that have the
same semantic relation to a single source concept. Crowd-workers are asked to
author multiple-choice questions that mention the source concept and
discriminate in turn between each of the target concepts. This encourages
workers to create questions with complex semantics that often require prior
knowledge. We create 12,247 questions through this procedure and demonstrate
the difficulty of our task with a large number of strong baselines. Our best
baseline is based on BERT-large (Devlin et al., 2018) and obtains 56% accuracy,
well below human performance, which is 89%.
","[{'version': 'v1', 'created': 'Fri, 2 Nov 2018 15:34:29 GMT'}, {'version': 'v2', 'created': 'Fri, 15 Mar 2019 18:02:58 GMT'}]",cs.CL,2018-11-02 15:34:29,['BERT'],True,Question Answering & Retrieval,['allenai.org'],False,False,False,0.0,692.0,0.970873786407767,0.973293768545994,4,0.9849246231155779
277,arXiv:1811.01088,"['Jason Phang', 'Thibault Févry', 'Samuel R. Bowman']","Sentence Encoders on STILTs: Supplementary Training on Intermediate
  Labeled-data Tasks",['cs.CL'],"  Pretraining sentence encoders with language modeling and related unsupervised
tasks has recently been shown to be very effective for language understanding
tasks. By supplementing language model-style pretraining with further training
on data-rich supervised tasks, such as natural language inference, we obtain
additional performance improvements on the GLUE benchmark. Applying
supplementary training on BERT (Devlin et al., 2018), we attain a GLUE score of
81.8---the state of the art (as of 02/24/2019) and a 1.4 point improvement over
BERT. We also observe reduced variance across random restarts in this setting.
Our approach yields similar improvements when applied to ELMo (Peters et al.,
2018a) and Radford et al. (2018)'s model. In addition, the benefits of
supplementary training are particularly pronounced in data-constrained regimes,
as we show in experiments with artificially limited training data.
","[{'version': 'v1', 'created': 'Fri, 2 Nov 2018 21:04:24 GMT'}, {'version': 'v2', 'created': 'Wed, 27 Feb 2019 19:07:16 GMT'}]",cs.CL,2018-11-02 21:04:24,"['language model', 'BERT']",True,Pretrained LMs & Text Classification,['nyu.edu'],False,True,False,0.0,378.0,0.9611650485436893,0.9525222551928784,3,0.9698492462311558
281,arXiv:1811.02084,"['Noam Shazeer', 'Youlong Cheng', 'Niki Parmar', 'Dustin Tran', 'Ashish Vaswani', 'Penporn Koanantakool', 'Peter Hawkins', 'HyoukJoong Lee', 'Mingsheng Hong', 'Cliff Young', 'Ryan Sepassi', 'Blake Hechtman']",Mesh-TensorFlow: Deep Learning for Supercomputers,"['cs.LG', 'cs.DC', 'stat.ML']","  Batch-splitting (data-parallelism) is the dominant distributed Deep Neural
Network (DNN) training strategy, due to its universal applicability and its
amenability to Single-Program-Multiple-Data (SPMD) programming. However,
batch-splitting suffers from problems including the inability to train very
large models (due to memory constraints), high latency, and inefficiency at
small batch sizes. All of these can be solved by more general distribution
strategies (model-parallelism). Unfortunately, efficient model-parallel
algorithms tend to be complicated to discover, describe, and to implement,
particularly on large clusters. We introduce Mesh-TensorFlow, a language for
specifying a general class of distributed tensor computations. Where
data-parallelism can be viewed as splitting tensors and operations along the
""batch"" dimension, in Mesh-TensorFlow, the user can specify any
tensor-dimensions to be split across any dimensions of a multi-dimensional mesh
of processors. A Mesh-TensorFlow graph compiles into a SPMD program consisting
of parallel operations coupled with collective communication primitives such as
Allreduce. We use Mesh-TensorFlow to implement an efficient data-parallel,
model-parallel version of the Transformer sequence-to-sequence model. Using TPU
meshes of up to 512 cores, we train Transformer models with up to 5 billion
parameters, surpassing state of the art results on WMT'14 English-to-French
translation task and the one-billion-word language modeling benchmark.
Mesh-Tensorflow is available at https://github.com/tensorflow/mesh .
","[{'version': 'v1', 'created': 'Mon, 5 Nov 2018 23:25:02 GMT'}]",cs.LG,2018-11-05 23:25:02,['language model'],True,Efficiency & Performance,['google.com'],True,False,False,0.0,290.0,0.9514563106796117,0.9287833827893175,12,0.9447236180904522
353,arXiv:1901.08746,"['Jinhyuk Lee', 'Wonjin Yoon', 'Sungdong Kim', 'Donghyeon Kim', 'Sunkyu Kim', 'Chan Ho So', 'Jaewoo Kang']","BioBERT: a pre-trained biomedical language representation model for
  biomedical text mining",['cs.CL'],"  Biomedical text mining is becoming increasingly important as the number of
biomedical documents rapidly grows. With the progress in natural language
processing (NLP), extracting valuable information from biomedical literature
has gained popularity among researchers, and deep learning has boosted the
development of effective biomedical text mining models. However, directly
applying the advancements in NLP to biomedical text mining often yields
unsatisfactory results due to a word distribution shift from general domain
corpora to biomedical corpora. In this article, we investigate how the recently
introduced pre-trained language model BERT can be adapted for biomedical
corpora. We introduce BioBERT (Bidirectional Encoder Representations from
Transformers for Biomedical Text Mining), which is a domain-specific language
representation model pre-trained on large-scale biomedical corpora. With almost
the same architecture across tasks, BioBERT largely outperforms BERT and
previous state-of-the-art models in a variety of biomedical text mining tasks
when pre-trained on biomedical corpora. While BERT obtains performance
comparable to that of previous state-of-the-art models, BioBERT significantly
outperforms them on the following three representative biomedical text mining
tasks: biomedical named entity recognition (0.62% F1 score improvement),
biomedical relation extraction (2.80% F1 score improvement) and biomedical
question answering (12.24% MRR improvement). Our analysis results show that
pre-training BERT on biomedical corpora helps it to understand complex
biomedical texts. We make the pre-trained weights of BioBERT freely available
at https://github.com/naver/biobert-pretrained, and the source code for
fine-tuning BioBERT available at https://github.com/dmis-lab/biobert.
","[{'version': 'v1', 'created': 'Fri, 25 Jan 2019 05:57:24 GMT'}, {'version': 'v2', 'created': 'Tue, 29 Jan 2019 06:43:51 GMT'}, {'version': 'v3', 'created': 'Sun, 3 Feb 2019 09:06:53 GMT'}, {'version': 'v4', 'created': 'Fri, 18 Oct 2019 02:51:31 GMT'}]",cs.CL,2019-01-25 05:57:24,"['BERT', 'language model']",True,NLP for Healthcare,"['korea.ac.kr', 'oup.com']",False,True,False,0.0,3374.0,0.9905660377358491,0.9890710382513661,7,0.989041095890411
